StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q102,Q109,Q109_DO,Q110,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q111,Q112,Q113,Q114,Q115,Q104,Q105,Q106,Q107,Q108,Q100,Q6,Q7,Q2,Q4,Q5,Q12,Q13,Q9,Q10,Q11,Q18,Q19,Q15,Q16,Q17,Q24,Q25,Q21,Q22,Q23,Q30,Q31,Q27,Q28,Q29,Q36,Q37,Q33,Q34,Q35,Q42,Q43,Q39,Q40,Q41,Q48,Q49,Q45,Q46,Q47,Q54,Q55,Q51,Q52,Q53,Q60,Q61,Q57,Q58,Q59,rid,age,pid,SUPNAME,SUPPLIER_ID,name,name2,name3,name4,name5,name6,name7,name8,name9,name10,Q98 - Parent Topics,Q98 - Sentiment Polarity,Q98 - Sentiment Score,Q98 - Sentiment,Q98 - Topic Sentiment Label,Q98 - Topic Sentiment Score,Q98 - Topics,rights_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I have read and understood the above consent form and desire of my own free will to participate in this study.,"For our research, careful attention to survey questions is critical! We thank you for your care.","For our research, careful attention to survey questions is critical! We thank you for your care. - Display Order","People are very busy these days and many do not have time to follow what goes on in the government. We are testing whether people read questions. To show that you've read this much, answer both ""extremely interested"" and ""very interested.""",What is your age?,What is your gender?,What is your annual income level?,What is your marital status?,What is the highest level of education you have completed?,What is your race?,From what country did you immigrate from?,In what year did you immigrate?,Are you a second generation immigrant?,"If so, where did parent 1 immigrate from?","If so, where did parent 2 immigrate from?",In what year did parent 1 immigrate?,In what year did parent 2 immigrate?,"If an AIDS or Ebola infected foreigner is found in my country, he/she must be forced to leave. We have to protect our citizens from contracting the virus, even if it infringes upon the rights of the infected foreigner.","Our country should install full-body scanners at airports. It is our duty to protect our country from terrorism, even if it takes away our privacy.",The government should be able to ban protests or rallies that result in traffic congestion and noise.,Unannounced inspections by police are sometimes necessary to crackdown on illegal protests and maintain public order.,Prisoners should be guaranteed their basic rights as citizens even in their cells.,Who did you vote for in the 2020 American election?,What would you think would be the race of a person with this name?,What do you think would be the specific race or ethnicity of a person with this name?,Would you think that a person with this name is a U.S. citizen?,What type of income do you think a person with this name would make?,What would be the highest level of education you think person with this name has likely completed?,What would you think would be the race of a person with this name?,What do you think would be the specific race or ethnicity of a person with this name?,Would you think that a person with this name is a U.S. citizen?,What type of income do you think a person with this name would make?,What would be the highest level of education you think person with this name has likely completed?,What would you think would be the race of a person with this name?,What do you think would be the specific race or ethnicity of a person with this name?,Would you think that a person with this name is a U.S. citizen?,What type of income do you think a person with this name would make?,What would be the highest level of education you think person with this name has likely completed?,What would you think would be the race of a person with this name?,What do you think would be the specific race or ethnicity of a person with this name?,Would you think that a person with this name is a U.S. citizen?,What type of income do you think a person with this name would make?,What would be the highest level of education you think person with this name has likely completed?,What would you think would be the race of a person with this name?,What do you think would be the specific race or ethnicity of a person with this name?,Would you think that a person with this name is a U.S. citizen?,What type of income do you think a person with this name would make?,What would be the highest level of education you think person with this name has likely completed?,What would you think would be the race of a person with this name?,What do you think would be the specific race or ethnicity of a person with this name?,Would you think that a person with this name is a U.S. citizen?,What type of income do you think a person with this name would make?,What would be the highest level of education you think person with this name has likely completed?,What would you think would be the race of a person with this name?,What do you think would be the specific race or ethnicity of a person with this name?,Would you think that a person with this name is a U.S. citizen?,What type of income do you think a person with this name would make?,What would be the highest level of education you think person with this name has likely completed?,What would you think would be the race of a person with this name?,What do you think would be the specific race or ethnicity of a person with this name?,Would you think that a person with this name is a U.S. citizen?,What type of income do you think a person with this name would make?,What would be the highest level of education you think person with this name has likely completed?,What would you think would be the race of a person with this name?,What do you think would be the specific race or ethnicity of a person with this name?,Would you think that a person with this name is a U.S. citizen?,What type of income do you think a person with this name would make?,What would be the highest level of education you think person with this name has likely completed?,What would you think would be the race of a person with this name?,What do you think would be the specific race or ethnicity of a person with this name?,Would you think that a person with this name is a U.S. citizen?,What type of income do you think a person with this name would make?,What would be the highest level of education you think person with this name has likely completed?,rid,age,pid,SUPNAME,SUPPLIER_ID,name,name2,name3,name4,name5,name6,name7,name8,name9,name10,Q98 - Parent Topics,Q98 - Sentiment Polarity,Q98 - Sentiment Score,Q98 - Sentiment,Q98 - Topic Sentiment Label,Q98 - Topic Sentiment Score,Q98 - Topics,rights - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID102""}","{""ImportId"":""QID109""}","{""ImportId"":""QID109_DO""}","{""ImportId"":""QID110""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112_TEXT""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""QID114_TEXT""}","{""ImportId"":""QID115_TEXT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID100""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""rid""}","{""ImportId"":""age""}","{""ImportId"":""pid""}","{""ImportId"":""SUPNAME""}","{""ImportId"":""SUPPLIER_ID""}","{""ImportId"":""name""}","{""ImportId"":""name2""}","{""ImportId"":""name3""}","{""ImportId"":""name4""}","{""ImportId"":""name5""}","{""ImportId"":""name6""}","{""ImportId"":""name7""}","{""ImportId"":""name8""}","{""ImportId"":""name9""}","{""ImportId"":""name10""}","{""ImportId"":""QID98_TEXT_23ff0ece93f744daad11085cParTopics""}","{""ImportId"":""QID98_TEXT_23ff0ece93f744daad11085cSenPol""}","{""ImportId"":""QID98_TEXT_23ff0ece93f744daad11085cSenScore""}","{""ImportId"":""QID98_TEXT_23ff0ece93f744daad11085cSentiment""}","{""ImportId"":""QID98_TEXT_23ff0ece93f744daad11085cTopicSenLabel""}","{""ImportId"":""QID98_TEXT_23ff0ece93f744daad11085cTopicSenScore""}","{""ImportId"":""QID98_TEXT_23ff0ece93f744daad11085cTopics""}","{""ImportId"":""BL_a5FLxKnvN90Hv5c_DO""}"
2021-05-15 10:03:30,2021-05-15 11:34:35,Survey Preview,,100,5464,True,2021-05-15 11:34:36,R_3RaOkn6oBnYHIww,,,,,43.701904296875,-72.2826995849609375,preview,EN,Yes,,,,18,Female,"$0 - $24,999",Single,Some college,Asian,India,2000,,,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Joe Biden,White,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Asian or Pacific Islander,Chinese,Yes,"Upper income (More than $120,400)",Master's degree,Asian or Pacific Islander,Korean,Yes,"Upper income (More than $120,400)",Master's degree,Asian or Pacific Islander,Vietnamese,Yes,"Upper income (More than $120,400)",Master's degree,White,,Yes,"Middle income	($41,000 - $120,400)",Master's degree,White,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Asian or Pacific Islander,Chinese,Yes,"Upper income (More than $120,400)",Master's degree,Asian or Pacific Islander,,,,,,,,,,,,,,,,,,,,Mark Johnston,David Chen,Amy Kim,Jin Pham,Darnell Washington,David Hansen,Dan Yang,Alice Patel,Thanh Tran,Robert Meyer,,,0,Neutral,,,Unknown,Q106|Q108|Q107|Q105|Q104
2021-05-18 10:49:22,2021-05-18 10:55:28,IP Address,71.11.65.204,100,366,True,2021-05-18 10:55:30,R_3EoFLwRaGzPz9sY,,,,,43.2151031494140625,-124.198394775390625,anonymous,EN,Yes,,,,80,Male,"$25,000 - $49,999",Divorced/Widowed,PhD,Hispanic or Latino,Mexico,1944,,,,,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly Agree,Joe Biden,Asian or Pacific Islander,Chinese,No,"Middle income	($41,000 - $120,400)",Ph.D. degree,Asian or Pacific Islander,Chinese,Yes,"Middle income	($41,000 - $120,400)",Ph.D. degree,White,,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Asian or Pacific Islander,Chinese,No,"Middle income	($41,000 - $120,400)",Master's degree,Asian or Pacific Islander,Chinese,No,"Low income (Less than $40,100)",,Hispanic,,Yes,"Middle income	($41,000 - $120,400)",Master's degree,White,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,White,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Asian or Pacific Islander,Chinese,No,"Middle income	($41,000 - $120,400)",Master's degree,Hispanic,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,60a3efc6-66ca-9a6a-6c06-ea697eae4887,80,,,,Young Li,Thanh Wang,Mark Olson,David Yang,Cindy Li,Miguel Gonzalez,Robert Snyder,Richard Larson,Peter Li,Alejandro Ramirez,,,0,Neutral,,,Unknown,Q105|Q108|Q104|Q106|Q107
2021-05-18 11:11:40,2021-05-18 11:16:06,IP Address,63.155.195.57,100,265,True,2021-05-18 11:16:07,R_3MxP6oCle64jNQZ,,,,,44.1448974609375,-123.049102783203125,anonymous,EN,Yes,,,,37,Female,"$0 - $24,999",Single,High school degree,White,"America ",2021,,,,,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Donald Trump,American Indian or Alaska Native,,No,"Middle income	($41,000 - $120,400)",High school,Asian or Pacific Islander,Asian Indian,No,"Low income (Less than $40,100)",High school,Asian or Pacific Islander,Asian Indian,No,"Low income (Less than $40,100)",High school,Asian or Pacific Islander,Other Asian,No,"Middle income	($41,000 - $120,400)",High school,White,,Yes,"Middle income	($41,000 - $120,400)",High school,Black or African American,,Yes,"Low income (Less than $40,100)",High school,White,,Yes,"Middle income	($41,000 - $120,400)",High school,White,,Yes,"Middle income	($41,000 - $120,400)",High school,Asian or Pacific Islander,Other Asian,No,"Middle income	($41,000 - $120,400)",High school,Asian or Pacific Islander,Other Asian,No,"Middle income	($41,000 - $120,400)",High school,60a3f571-f82d-4529-721a-94db49850aff,37,,,,Salvador Torres,Hong Nguyen,Li Li,Robert Hansen,Mary Larson,Latasha Weaver,John Olson,Jorge Martinez,Salvador Perez,Grace Wang,,,0,Neutral,,,Unknown,Q104|Q108|Q105|Q107|Q106
2021-05-18 11:11:32,2021-05-18 11:17:12,IP Address,68.59.153.136,100,339,True,2021-05-18 11:17:13,R_3Ey6wWKWZfwmHJT,,,,,35.4557037353515625,-84.60260009765625,anonymous,EN,Yes,,,,63,Female,"$100,000 +",Married,Some college,White,Cuba,1973,,,,,,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat agree,Strongly Agree,Donald Trump,Other,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Asian or Pacific Islander,Korean,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Hispanic,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Other,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,White,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,White,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,White,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,White,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Hispanic,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Other,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,60a3f530-b461-6e0d-0bea-09923a6760d2,63,,,,Jermaine Stone,Li Le,Javier Lopez,Jenny Pham,Darnell Stone,Jermaine Sullivan,Andy Kim,Thomas Schmidt,Jesus Garcia,Jane Patel,,,0,Neutral,,,Unknown,Q104|Q108|Q107|Q105|Q106
2021-05-18 11:10:51,2021-05-18 11:19:22,IP Address,108.65.6.117,100,511,True,2021-05-18 11:19:23,R_1BQ7ZD6F33jczW0,,,,,37.795806884765625,-122.4203033447265625,anonymous,EN,Yes,,,,76,Female,"$25,000 - $49,999",Divorced/Widowed,Bachelor's degree,White,France,1999,,,,,,Somewhat agree,Strongly Agree,Somewhat agree,Strongly Agree,Somewhat agree,Joe Biden,Asian or Pacific Islander,Vietnamese,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Black or African American,,Yes,"Low income (Less than $40,100)",High school,White,,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Other,,Yes,"Upper income (More than $120,400)",High school,Asian or Pacific Islander,Chinese,No,"Low income (Less than $40,100)",High school,Asian or Pacific Islander,Chinese,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Hispanic,,No,"Low income (Less than $40,100)",High school,Black or African American,,Yes,"Low income (Less than $40,100)",High school,Asian or Pacific Islander,Filipino,Yes,"Low income (Less than $40,100)",High school,Asian or Pacific Islander,Chinese,Yes,"Middle income	($41,000 - $120,400)",Ph.D. degree,60a3f53c-96d1-627e-2af7-611db0e99ccc,76,,,,Alice Tran,Lakisha Weaver,David Snyder,Dan Patel,Young Wang,Alan Chen,Alejandro Rodriguez,Ebony Wood,May Tran,Alice Kim,,,0,Neutral,,,Unknown,Q108|Q106|Q107|Q105|Q104
2021-05-18 11:12:34,2021-05-18 11:20:07,IP Address,24.103.182.2,100,453,True,2021-05-18 11:20:08,R_dhw44valhemstmF,,,,,43.311492919921875,-73.64479827880859375,anonymous,EN,Yes,,,,57,Female,"$75,000 - $99,999",Married,Bachelor's degree,White,United States,1963,,,,,,Neither agree nor disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Joe Biden,Asian or Pacific Islander,Chinese,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Other,,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Asian or Pacific Islander,Korean,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Asian or Pacific Islander,Japanese,Yes,"Middle income	($41,000 - $120,400)",Master's degree,White,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Asian or Pacific Islander,Korean,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Asian or Pacific Islander,Filipino,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Black or African American,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Asian or Pacific Islander,Korean,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Asian or Pacific Islander,Japanese,Yes,"Middle income	($41,000 - $120,400)",Master's degree,60a3f55f-5969-ca32-9bfc-d944436881e7,57,,,,Amy Kim,Peter Nguyen,Alex Wang,Li Patel,Richard Wagner,Jin Yang,Minh Le,Jermaine Sullivan,Sam Nguyen,David Yang,,,0,Neutral,,,Unknown,Q107|Q106|Q108|Q104|Q105
2021-05-18 11:54:02,2021-05-18 12:01:26,IP Address,107.77.229.53,100,443,True,2021-05-18 12:01:26,R_2f7ffJpy3NsrXtE,,,,,34.0290069580078125,-118.4004974365234375,anonymous,EN,Yes,,,,32,Male,"$25,000 - $49,999",Single,High school degree,Hispanic or Latino,Born here,Born here,,,,,,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Joe Biden,Asian or Pacific Islander,Japanese,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Hispanic,,Yes,"Low income (Less than $40,100)",High school,White,,Yes,"Upper income (More than $120,400)",Master's degree,Asian or Pacific Islander,Chinese,Yes,"Upper income (More than $120,400)",Master's degree,Hispanic,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Asian or Pacific Islander,Chinese,Yes,"Upper income (More than $120,400)",Ph.D. degree,American Indian or Alaska Native,,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Asian or Pacific Islander,Filipino,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Asian or Pacific Islander,Japanese,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Hispanic,,No,"Low income (Less than $40,100)",Bachelor's degree,60a3ff53-dc2c-aae0-a2c1-09cb1ba7764a,19,,,,Cindy Li,Javier Ramirez,David Meyer,Young Tran,Jesus Martinez,Albert Wang,Alan Pham,May Tran,Andy Nguyen,Javier Lopez,,,0,Neutral,,,Unknown,Q105|Q108|Q104|Q106|Q107
2021-05-18 12:05:43,2021-05-18 12:08:03,IP Address,92.119.16.213,100,140,True,2021-05-18 12:08:04,R_2fqReQo1fbUht4B,,,,,33.748504638671875,-84.3871002197265625,anonymous,EN,Yes,,,,24,Male,"$25,000 - $49,999",Single,PhD,American indigenous/Alaskan native,Hay la,Hay la,,,,,,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly disagree,Joe Biden,White,,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Black or African American,,Yes,"Low income (Less than $40,100)",Bachelor's degree,Black or African American,,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Black or African American,,Yes,"Middle income	($41,000 - $120,400)",Master's degree,Asian or Pacific Islander,Korean,No,"Middle income	($41,000 - $120,400)",Bachelor's degree,American Indian or Alaska Native,,No,"Middle income	($41,000 - $120,400)",Bachelor's degree,American Indian or Alaska Native,,No,"Middle income	($41,000 - $120,400)",Master's degree,Hispanic,,No,"Middle income	($41,000 - $120,400)",Master's degree,Asian or Pacific Islander,Korean,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,Black or African American,,Yes,"Upper income (More than $120,400)",High school,60a401ee-fa6d-ed6e-eb22-b011cc4c21aa,24,,,,Latonya Stone,Roosevelt Wood,Salvador Perez,Michael Larson,Latonya Washington,Mark Wagner,Mark Snyder,Latasha Burke,Andy Wang,Salvador Hernandez,,,0,Neutral,,,Unknown,Q107|Q105|Q104|Q108|Q106
2021-05-18 12:10:48,2021-05-18 12:15:20,IP Address,76.118.119.26,100,271,True,2021-05-18 12:15:20,R_1IW2pwmbjjcEjYA,,,,,41.6338958740234375,-70.9405975341796875,anonymous,EN,Yes,,,,57,Male,"$25,000 - $49,999",Divorced/Widowed,No high school,White,"Portugal ","dont remember ",,,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Did not vote/not eligible to vote,Asian or Pacific Islander,Korean,Yes,"Upper income (More than $120,400)",Ph.D. degree,Black or African American,,Yes,"Middle income	($41,000 - $120,400)",Bachelor's degree,White,,Yes,"Middle income	($41,000 - $120,400)",High school,Black or African American,,No,"Middle income	($41,000 - $120,400)",High school,American Indian or Alaska Native,,No,"Upper income (More than $120,400)",Master's degree,Hispanic,,Yes,"Middle income	($41,000 - $120,400)",High school,White,,Yes,"Low income (Less than $40,100)",High school,Asian or Pacific Islander,Chinese,No,"Upper income (More than $120,400)",Master's degree,Asian or Pacific Islander,Other Asian,No,"Low income (Less than $40,100)",High school,White,,Yes,"Low income (Less than $40,100)",Bachelor's degree,60a4031e-fda7-803c-e2e9-960fdf4f2744,57,,,,Amy Chen,Latoya Washington,Jenny Patel,Ebony Jackson,Andy Le,Salvador Gonzalez,Vivian Patel,Young Yang,Ebony Carpenter,Mark Wagner,,,0,Neutral,,,Unknown,Q104|Q106|Q105|Q107|Q108
