name,res.race,identity,pct_correct,mean_correct_score,pct_quality_names
Darnell Carpenter,Black,Black,1,0.77,0.08
Darnell Jackson,Black,Black,1,0.77,0.08
Ebony Fox,Black,Black,1,0.77,0.08
Ebony Sullivan,Black,Black,1,0.77,0.08
Jermaine Carpenter,Black,Black,1,0.77,0.08
Jermaine Jackson,Black,Black,1,0.77,0.08
Lakisha Burke,Black,Black,1,0.77,0.08
Lakisha Fox,Black,Black,1,0.77,0.08
Lakisha Jackson,Black,Black,1,0.77,0.08
Lakisha Washington,Black,Black,1,0.77,0.08
Lakisha Weaver,Black,Black,1,0.77,0.08
Lakisha Wood,Black,Black,1,0.77,0.08
Latasha Carpenter,Black,Black,1,0.77,0.08
Latasha Fox,Black,Black,1,0.77,0.08
Latasha Jackson,Black,Black,1,0.77,0.08
Latasha Washington,Black,Black,1,0.77,0.08
Latasha Weaver,Black,Black,1,0.77,0.08
Latasha Wood,Black,Black,1,0.77,0.08
Latonya Williams,Black,Black,1,0.77,0.08
Latonya Wood,Black,Black,1,0.77,0.08
Latoya Washington,Black,Black,1,0.77,0.08
Latoya Williams,Black,Black,1,0.77,0.08
Tamika Jackson,Black,Black,1,0.77,0.08
Tamika Washington,Black,Black,1,0.77,0.08
Tamika Williams,Black,Black,1,0.77,0.08
Tanisha Burke,Black,Black,1,0.77,0.08
Tanisha Carpenter,Black,Black,1,0.77,0.08
Tanisha Fox,Black,Black,1,0.77,0.08
Tanisha Stone,Black,Black,1,0.77,0.08
Ebony Wood,Black,Black,0.9166666666666666,0.77,0.08
Latonya Fox,Black,Black,0.9090909090909091,0.77,0.08
Ebony Stone,Black,Black,0.9,0.77,0.08
Jermaine Stone,Black,Black,0.8888888888888888,0.77,0.08
Tamika Fox,Black,Black,0.8888888888888888,0.77,0.08
Jermaine Sullivan,Black,Black,0.875,0.77,0.08
Latonya Jackson,Black,Black,0.875,0.77,0.08
Tanisha Washington,Black,Black,0.875,0.77,0.08
Tanisha Weaver,Black,Black,0.875,0.77,0.08
Darnell Stone,Black,Black,0.8571428571428571,0.77,0.08
Ebony Jackson,Black,Black,0.8571428571428571,0.77,0.08
Jermaine Fox,Black,Black,0.8571428571428571,0.77,0.08
Tamika Weaver,Black,Black,0.8571428571428571,0.77,0.08
Darnell Weaver,Black,Black,0.8333333333333334,0.77,0.08
Jermaine Wood,Black,Black,0.8333333333333334,0.77,0.08
Latonya Stone,Black,Black,0.8333333333333334,0.77,0.08
Latoya Burke,Black,Black,0.8333333333333334,0.77,0.08
Tanisha Jackson,Black,Black,0.8333333333333334,0.77,0.08
Latonya Washington,Black,Black,0.8181818181818182,0.77,0.08
Darnell Williams,Black,Black,0.8,0.77,0.08
Ebony Williams,Black,Black,0.8,0.77,0.08
Lakisha Stone,Black,Black,0.8,0.77,0.08
Latonya Carpenter,Black,Black,0.8,0.77,0.08
Latoya Carpenter,Black,Black,0.8,0.77,0.08
Latoya Fox,Black,Black,0.8,0.77,0.08
Roosevelt Stone,Black,Black,0.8,0.77,0.08
Latasha Williams,Black,Black,0.7777777777777778,0.77,0.08
John Ryan,White,White,1,0.89,0.02
Mary Meyer,White,White,1,0.89,0.02
Mary Olson,White,White,1,0.89,0.02
Richard Meyer,White,White,1,0.89,0.02
Richard Larson,White,White,0.975,0.89,0.02
Thomas Hansen,White,White,0.9736842105263158,0.89,0.02
David Ryan,White,White,0.9722222222222222,0.89,0.02
Robert Snyder,White,White,0.9722222222222222,0.89,0.02
Thomas Meyer,White,White,0.9705882352941176,0.89,0.02
Mark Hansen,White,White,0.9696969696969697,0.89,0.02
Mark Meyer,White,White,0.9696969696969697,0.89,0.02
Richard Schmidt,White,White,0.9696969696969697,0.89,0.02
Mary Schmidt,White,White,0.967741935483871,0.89,0.02
Thomas Schmidt,White,White,0.967741935483871,0.89,0.02
William Snyder,White,White,0.9666666666666667,0.89,0.02
James Snyder,White,White,0.9655172413793104,0.89,0.02
Michael Wagner,White,White,0.9655172413793104,0.89,0.02
Richard Hoffman,White,White,0.9655172413793104,0.89,0.02
Mark Hoffman,White,White,0.9629629629629629,0.89,0.02
Robert Schmidt,White,White,0.9629629629629629,0.89,0.02
John Schmidt,White,White,0.9545454545454546,0.89,0.02
Thomas Wagner,White,White,0.9523809523809523,0.89,0.02
John Hoffman,White,White,0.9459459459459459,0.89,0.02
David Schmidt,White,White,0.9428571428571428,0.89,0.02
Robert Hoffman,White,White,0.9428571428571428,0.89,0.02
William Wagner,White,White,0.9428571428571428,0.89,0.02
David Olson,White,White,0.9411764705882353,0.89,0.02
Mary Ryan,White,White,0.9411764705882353,0.89,0.02
Mary Snyder,White,White,0.9411764705882353,0.89,0.02
Robert Wagner,White,White,0.9393939393939394,0.89,0.02
Mark Ryan,White,White,0.9375,0.89,0.02
Mark Schmidt,White,White,0.9354838709677419,0.89,0.02
Richard Ryan,White,White,0.9333333333333333,0.89,0.02
Michael Ryan,White,White,0.9310344827586207,0.89,0.02
John Meyer,White,White,0.9285714285714286,0.89,0.02
Mark Johnston,White,White,0.9259259259259259,0.89,0.02
David Hoffman,White,White,0.9230769230769231,0.89,0.02
James Hoffman,White,White,0.9210526315789473,0.89,0.02
David Snyder,White,White,0.9166666666666666,0.89,0.02
Michael Hoffman,White,White,0.9166666666666666,0.89,0.02
David Wagner,White,White,0.9148936170212766,0.89,0.02
Thomas Snyder,White,White,0.9142857142857143,0.89,0.02
Mary Hoffman,White,White,0.9130434782608695,0.89,0.02
John Olson,White,White,0.9117647058823529,0.89,0.02
Thomas Larson,White,White,0.9117647058823529,0.89,0.02
James Larson,White,White,0.9090909090909091,0.89,0.02
James Ryan,White,White,0.9090909090909091,0.89,0.02
Mark Wagner,White,White,0.9090909090909091,0.89,0.02
Robert Ryan,White,White,0.9069767441860465,0.89,0.02
Mark Olson,White,White,0.9,0.89,0.02
Michael Meyer,White,White,0.9,0.89,0.02
David Larson,White,White,0.8974358974358975,0.89,0.02
Mark Snyder,White,White,0.8928571428571429,0.89,0.02
William Larson,White,White,0.8928571428571429,0.89,0.02
James Meyer,White,White,0.8918918918918919,0.89,0.02
Richard Olson,White,White,0.8918918918918919,0.89,0.02
William Hoffman,White,White,0.8918918918918919,0.89,0.02
Alan Chen,AAPI,AAPI,1,0.84,0.18
Alan Le,AAPI,AAPI,1,0.84,0.18
Alan Li,AAPI,AAPI,1,0.84,0.18
Alan Nguyen,AAPI,AAPI,1,0.84,0.18
Alan Pham,AAPI,AAPI,1,0.84,0.18
Alan Wang,AAPI,AAPI,1,0.84,0.18
Alan Yang,AAPI,AAPI,1,0.84,0.18
Albert Chen,AAPI,AAPI,1,0.84,0.18
Albert Le,AAPI,AAPI,1,0.84,0.18
Albert Pham,AAPI,AAPI,1,0.84,0.18
Albert Tran,AAPI,AAPI,1,0.84,0.18
Albert Wang,AAPI,AAPI,1,0.84,0.18
Alex Chen,AAPI,AAPI,1,0.84,0.18
Alex Li,AAPI,AAPI,1,0.84,0.18
Alex Pham,AAPI,AAPI,1,0.84,0.18
Alex Tran,AAPI,AAPI,1,0.84,0.18
Alex Wang,AAPI,AAPI,1,0.84,0.18
Alex Yang,AAPI,AAPI,1,0.84,0.18
Alice Chen,AAPI,AAPI,1,0.84,0.18
Alice Kim,AAPI,AAPI,1,0.84,0.18
Alice Le,AAPI,AAPI,1,0.84,0.18
Alice Wang,AAPI,AAPI,1,0.84,0.18
Alice Yang,AAPI,AAPI,1,0.84,0.18
Amy Chen,AAPI,AAPI,1,0.84,0.18
Amy Kim,AAPI,AAPI,1,0.84,0.18
Amy Le,AAPI,AAPI,1,0.84,0.18
Amy Li,AAPI,AAPI,1,0.84,0.18
Amy Nguyen,AAPI,AAPI,1,0.84,0.18
Amy Tran,AAPI,AAPI,1,0.84,0.18
Amy Wang,AAPI,AAPI,1,0.84,0.18
Amy Yang,AAPI,AAPI,1,0.84,0.18
Andrew Chen,AAPI,AAPI,1,0.84,0.18
Andrew Le,AAPI,AAPI,1,0.84,0.18
Andrew Li,AAPI,AAPI,1,0.84,0.18
Andrew Nguyen,AAPI,AAPI,1,0.84,0.18
Andrew Patel,AAPI,AAPI,1,0.84,0.18
Andrew Wang,AAPI,AAPI,1,0.84,0.18
Andrew Yang,AAPI,AAPI,1,0.84,0.18
Andy Chen,AAPI,AAPI,1,0.84,0.18
Andy Li,AAPI,AAPI,1,0.84,0.18
Andy Tran,AAPI,AAPI,1,0.84,0.18
Andy Wang,AAPI,AAPI,1,0.84,0.18
Andy Yang,AAPI,AAPI,1,0.84,0.18
Cecilia Li,AAPI,AAPI,1,0.84,0.18
Cecilia Nguyen,AAPI,AAPI,1,0.84,0.18
Cecilia Wang,AAPI,AAPI,1,0.84,0.18
Cindy Chen,AAPI,AAPI,1,0.84,0.18
Cindy Le,AAPI,AAPI,1,0.84,0.18
Cindy Li,AAPI,AAPI,1,0.84,0.18
Cindy Nguyen,AAPI,AAPI,1,0.84,0.18
Cindy Pham,AAPI,AAPI,1,0.84,0.18
Cindy Wang,AAPI,AAPI,1,0.84,0.18
Cindy Yang,AAPI,AAPI,1,0.84,0.18
Dan Chen,AAPI,AAPI,1,0.84,0.18
Dan Le,AAPI,AAPI,1,0.84,0.18
Dan Li,AAPI,AAPI,1,0.84,0.18
Dan Nguyen,AAPI,AAPI,1,0.84,0.18
Dan Tran,AAPI,AAPI,1,0.84,0.18
Dan Wang,AAPI,AAPI,1,0.84,0.18
Dan Yang,AAPI,AAPI,1,0.84,0.18
David Chen,AAPI,AAPI,1,0.84,0.18
David Le,AAPI,AAPI,1,0.84,0.18
David Li,AAPI,AAPI,1,0.84,0.18
David Nguyen,AAPI,AAPI,1,0.84,0.18
David Wang,AAPI,AAPI,1,0.84,0.18
David Yang,AAPI,AAPI,1,0.84,0.18
Eric Chen,AAPI,AAPI,1,0.84,0.18
Eric Kim,AAPI,AAPI,1,0.84,0.18
Eric Le,AAPI,AAPI,1,0.84,0.18
Eric Pham,AAPI,AAPI,1,0.84,0.18
Eric Wang,AAPI,AAPI,1,0.84,0.18
Eric Yang,AAPI,AAPI,1,0.84,0.18
Grace Chen,AAPI,AAPI,1,0.84,0.18
Grace Nguyen,AAPI,AAPI,1,0.84,0.18
Grace Tran,AAPI,AAPI,1,0.84,0.18
Grace Yang,AAPI,AAPI,1,0.84,0.18
Hong Chen,AAPI,AAPI,1,0.84,0.18
Hong Kim,AAPI,AAPI,1,0.84,0.18
Hong Le,AAPI,AAPI,1,0.84,0.18
Hong Li,AAPI,AAPI,1,0.84,0.18
Hong Nguyen,AAPI,AAPI,1,0.84,0.18
Hong Tran,AAPI,AAPI,1,0.84,0.18
Hong Wang,AAPI,AAPI,1,0.84,0.18
Hong Yang,AAPI,AAPI,1,0.84,0.18
Hung Chen,AAPI,AAPI,1,0.84,0.18
Hung Kim,AAPI,AAPI,1,0.84,0.18
Hung Le,AAPI,AAPI,1,0.84,0.18
Hung Li,AAPI,AAPI,1,0.84,0.18
Hung Nguyen,AAPI,AAPI,1,0.84,0.18
Hung Pham,AAPI,AAPI,1,0.84,0.18
Hung Yang,AAPI,AAPI,1,0.84,0.18
Jane Chen,AAPI,AAPI,1,0.84,0.18
Jane Li,AAPI,AAPI,1,0.84,0.18
Jane Nguyen,AAPI,AAPI,1,0.84,0.18
Jane Wang,AAPI,AAPI,1,0.84,0.18
Jane Yang,AAPI,AAPI,1,0.84,0.18
Jennifer Chen,AAPI,AAPI,1,0.84,0.18
Jennifer Kim,AAPI,AAPI,1,0.84,0.18
Jennifer Li,AAPI,AAPI,1,0.84,0.18
Jennifer Yang,AAPI,AAPI,1,0.84,0.18
Jenny Chen,AAPI,AAPI,1,0.84,0.18
Jenny Li,AAPI,AAPI,1,0.84,0.18
Jenny Tran,AAPI,AAPI,1,0.84,0.18
Jenny Wang,AAPI,AAPI,1,0.84,0.18
Jenny Yang,AAPI,AAPI,1,0.84,0.18
Jian Chen,AAPI,AAPI,1,0.84,0.18
Jian Kim,AAPI,AAPI,1,0.84,0.18
Jian Le,AAPI,AAPI,1,0.84,0.18
Jian Li,AAPI,AAPI,1,0.84,0.18
Jian Nguyen,AAPI,AAPI,1,0.84,0.18
Jian Tran,AAPI,AAPI,1,0.84,0.18
Jian Wang,AAPI,AAPI,1,0.84,0.18
Jian Yang,AAPI,AAPI,1,0.84,0.18
Jin Chen,AAPI,AAPI,1,0.84,0.18
Jin Le,AAPI,AAPI,1,0.84,0.18
Jin Li,AAPI,AAPI,1,0.84,0.18
Jin Nguyen,AAPI,AAPI,1,0.84,0.18
Jin Pham,AAPI,AAPI,1,0.84,0.18
Jin Tran,AAPI,AAPI,1,0.84,0.18
Jin Wang,AAPI,AAPI,1,0.84,0.18
Jin Yang,AAPI,AAPI,1,0.84,0.18
Li Chen,AAPI,AAPI,1,0.84,0.18
Li Kim,AAPI,AAPI,1,0.84,0.18
Li Le,AAPI,AAPI,1,0.84,0.18
Li Li,AAPI,AAPI,1,0.84,0.18
Li Nguyen,AAPI,AAPI,1,0.84,0.18
Li Wang,AAPI,AAPI,1,0.84,0.18
May Chen,AAPI,AAPI,1,0.84,0.18
May Le,AAPI,AAPI,1,0.84,0.18
May Li,AAPI,AAPI,1,0.84,0.18
May Nguyen,AAPI,AAPI,1,0.84,0.18
May Pham,AAPI,AAPI,1,0.84,0.18
May Wang,AAPI,AAPI,1,0.84,0.18
May Yang,AAPI,AAPI,1,0.84,0.18
Minh Chen,AAPI,AAPI,1,0.84,0.18
Minh Kim,AAPI,AAPI,1,0.84,0.18
Minh Le,AAPI,AAPI,1,0.84,0.18
Minh Nguyen,AAPI,AAPI,1,0.84,0.18
Minh Pham,AAPI,AAPI,1,0.84,0.18
Minh Wang,AAPI,AAPI,1,0.84,0.18
Minh Yang,AAPI,AAPI,1,0.84,0.18
Peter Chen,AAPI,AAPI,1,0.84,0.18
Peter Li,AAPI,AAPI,1,0.84,0.18
Peter Nguyen,AAPI,AAPI,1,0.84,0.18
Peter Pham,AAPI,AAPI,1,0.84,0.18
Peter Wang,AAPI,AAPI,1,0.84,0.18
Peter Yang,AAPI,AAPI,1,0.84,0.18
Sam Kim,AAPI,AAPI,1,0.84,0.18
Sam Le,AAPI,AAPI,1,0.84,0.18
Sam Li,AAPI,AAPI,1,0.84,0.18
Sam Nguyen,AAPI,AAPI,1,0.84,0.18
Sam Wang,AAPI,AAPI,1,0.84,0.18
Thanh Chen,AAPI,AAPI,1,0.84,0.18
Thanh Nguyen,AAPI,AAPI,1,0.84,0.18
Thanh Wang,AAPI,AAPI,1,0.84,0.18
Thanh Yang,AAPI,AAPI,1,0.84,0.18
Vivian Chen,AAPI,AAPI,1,0.84,0.18
Vivian Kim,AAPI,AAPI,1,0.84,0.18
Vivian Le,AAPI,AAPI,1,0.84,0.18
Vivian Li,AAPI,AAPI,1,0.84,0.18
Vivian Nguyen,AAPI,AAPI,1,0.84,0.18
Vivian Pham,AAPI,AAPI,1,0.84,0.18
Vivian Tran,AAPI,AAPI,1,0.84,0.18
Vivian Wang,AAPI,AAPI,1,0.84,0.18
