name,res.race,identity,pct_correct,mean_correct_score,pct_quality_names
Mark Wagner,Black,White,1,0.61,0.08
Mary Snyder,Black,White,1,0.61,0.08
Michael Johnston,Black,White,1,0.61,0.08
Michael Olson,Black,White,1,0.61,0.08
Richard Snyder,Black,White,1,0.61,0.08
Thomas Olson,Black,White,1,0.61,0.08
Thomas Snyder,Black,White,1,0.61,0.08
William Snyder,Black,White,0.9,0.61,0.08
Thomas Ryan,Black,White,0.8888888888888888,0.61,0.08
Robert Hoffman,Black,White,0.875,0.61,0.08
Mark Ryan,Black,White,0.8571428571428571,0.61,0.08
Richard Schmidt,Black,White,0.8571428571428571,0.61,0.08
Thomas Wagner,Black,White,0.8571428571428571,0.61,0.08
David Meyer,Black,White,0.8333333333333334,0.61,0.08
Michael Schmidt,Black,White,0.8333333333333334,0.61,0.08
David Hoffman,Black,White,0.8,0.61,0.08
John Schmidt,Black,White,0.8,0.61,0.08
Mark Snyder,Black,White,0.8,0.61,0.08
Mary Ryan,Black,White,0.8,0.61,0.08
Michael Wagner,Black,White,0.8,0.61,0.08
Richard Hoffman,Black,White,0.8,0.61,0.08
Richard Olson,Black,White,0.8,0.61,0.08
John Hoffman,Black,White,0.7777777777777778,0.61,0.08
David Snyder,Black,White,0.75,0.61,0.08
John Larson,Black,White,0.75,0.61,0.08
John Snyder,Black,White,0.75,0.61,0.08
Mark Hansen,Black,White,0.75,0.61,0.08
Mark Schmidt,Black,White,0.75,0.61,0.08
Richard Meyer,Black,White,0.75,0.61,0.08
William Olson,Black,White,0.75,0.61,0.08
James Meyer,Black,White,0.7142857142857143,0.61,0.08
John Ryan,Black,White,0.7142857142857143,0.61,0.08
Michael Meyer,Black,White,0.7142857142857143,0.61,0.08
William Wagner,Black,White,0.7142857142857143,0.61,0.08
Richard Wagner,Black,White,0.7,0.61,0.08
Robert Wagner,Black,White,0.7,0.61,0.08
David Hansen,Black,White,0.6666666666666666,0.61,0.08
David Ryan,Black,White,0.6666666666666666,0.61,0.08
James Hoffman,Black,White,0.6666666666666666,0.61,0.08
James Ryan,Black,White,0.6666666666666666,0.61,0.08
James Snyder,Black,White,0.6666666666666666,0.61,0.08
Mary Olson,Black,White,0.6666666666666666,0.61,0.08
Robert Olson,Black,White,0.6666666666666666,0.61,0.08
William Meyer,Black,White,0.6666666666666666,0.61,0.08
Mark Olson,Black,White,0.6363636363636364,0.61,0.08
David Wagner,Black,White,0.625,0.61,0.08
James Schmidt,Black,White,0.625,0.61,0.08
John Wagner,Black,White,0.625,0.61,0.08
Mary Hoffman,Black,White,0.625,0.61,0.08
Michael Hoffman,Black,White,0.625,0.61,0.08
Robert Schmidt,Black,White,0.625,0.61,0.08
David Hansen,AAPI,White,1,0.84,0.18
David Johnston,AAPI,White,1,0.84,0.18
David Larson,AAPI,White,1,0.84,0.18
David Olson,AAPI,White,1,0.84,0.18
David Ryan,AAPI,White,1,0.84,0.18
David Schmidt,AAPI,White,1,0.84,0.18
James Meyer,AAPI,White,1,0.84,0.18
James Olson,AAPI,White,1,0.84,0.18
James Ryan,AAPI,White,1,0.84,0.18
James Schmidt,AAPI,White,1,0.84,0.18
John Hansen,AAPI,White,1,0.84,0.18
John Hoffman,AAPI,White,1,0.84,0.18
John Olson,AAPI,White,1,0.84,0.18
John Ryan,AAPI,White,1,0.84,0.18
John Schmidt,AAPI,White,1,0.84,0.18
John Snyder,AAPI,White,1,0.84,0.18
John Wagner,AAPI,White,1,0.84,0.18
Mark Hansen,AAPI,White,1,0.84,0.18
Mark Hoffman,AAPI,White,1,0.84,0.18
Mark Johnston,AAPI,White,1,0.84,0.18
Mark Meyer,AAPI,White,1,0.84,0.18
Mark Olson,AAPI,White,1,0.84,0.18
Mark Ryan,AAPI,White,1,0.84,0.18
Mark Schmidt,AAPI,White,1,0.84,0.18
Mary Hoffman,AAPI,White,1,0.84,0.18
Mary Johnston,AAPI,White,1,0.84,0.18
Mary Meyer,AAPI,White,1,0.84,0.18
Mary Ryan,AAPI,White,1,0.84,0.18
Mary Snyder,AAPI,White,1,0.84,0.18
Mary Wagner,AAPI,White,1,0.84,0.18
Michael Hansen,AAPI,White,1,0.84,0.18
Michael Hoffman,AAPI,White,1,0.84,0.18
Michael Larson,AAPI,White,1,0.84,0.18
Michael Meyer,AAPI,White,1,0.84,0.18
Michael Schmidt,AAPI,White,1,0.84,0.18
Michael Snyder,AAPI,White,1,0.84,0.18
Michael Wagner,AAPI,White,1,0.84,0.18
Richard Hoffman,AAPI,White,1,0.84,0.18
Richard Johnston,AAPI,White,1,0.84,0.18
Richard Meyer,AAPI,White,1,0.84,0.18
Robert Meyer,AAPI,White,1,0.84,0.18
Robert Ryan,AAPI,White,1,0.84,0.18
Robert Snyder,AAPI,White,1,0.84,0.18
Robert Wagner,AAPI,White,1,0.84,0.18
Thomas Hoffman,AAPI,White,1,0.84,0.18
Thomas Johnston,AAPI,White,1,0.84,0.18
Thomas Ryan,AAPI,White,1,0.84,0.18
Thomas Schmidt,AAPI,White,1,0.84,0.18
Thomas Snyder,AAPI,White,1,0.84,0.18
William Hoffman,AAPI,White,1,0.84,0.18
William Meyer,AAPI,White,1,0.84,0.18
William Olson,AAPI,White,1,0.84,0.18
William Ryan,AAPI,White,1,0.84,0.18
William Schmidt,AAPI,White,1,0.84,0.18
William Snyder,AAPI,White,1,0.84,0.18
William Wagner,AAPI,White,1,0.84,0.18
Robert Larson,AAPI,White,0.875,0.84,0.18
John Meyer,AAPI,White,0.8571428571428571,0.84,0.18
Richard Ryan,AAPI,White,0.8571428571428571,0.84,0.18
David Hansen,Latino,White,1,0.78,0.11
David Olson,Latino,White,1,0.78,0.11
David Ryan,Latino,White,1,0.78,0.11
David Snyder,Latino,White,1,0.78,0.11
David Wagner,Latino,White,1,0.78,0.11
James Hansen,Latino,White,1,0.78,0.11
James Hoffman,Latino,White,1,0.78,0.11
James Meyer,Latino,White,1,0.78,0.11
James Schmidt,Latino,White,1,0.78,0.11
John Meyer,Latino,White,1,0.78,0.11
John Ryan,Latino,White,1,0.78,0.11
Mark Hansen,Latino,White,1,0.78,0.11
Mark Johnston,Latino,White,1,0.78,0.11
Mark Meyer,Latino,White,1,0.78,0.11
Mark Olson,Latino,White,1,0.78,0.11
Mark Wagner,Latino,White,1,0.78,0.11
Mary Meyer,Latino,White,1,0.78,0.11
Mary Wagner,Latino,White,1,0.78,0.11
Michael Ryan,Latino,White,1,0.78,0.11
Michael Schmidt,Latino,White,1,0.78,0.11
Michael Wagner,Latino,White,1,0.78,0.11
Richard Johnston,Latino,White,1,0.78,0.11
Richard Schmidt,Latino,White,1,0.78,0.11
Robert Hansen,Latino,White,1,0.78,0.11
Robert Hoffman,Latino,White,1,0.78,0.11
Thomas Hansen,Latino,White,1,0.78,0.11
Thomas Meyer,Latino,White,1,0.78,0.11
Thomas Snyder,Latino,White,1,0.78,0.11
Thomas Wagner,Latino,White,1,0.78,0.11
William Hoffman,Latino,White,1,0.78,0.11
William Meyer,Latino,White,1,0.78,0.11
William Wagner,Latino,White,1,0.78,0.11
Robert Snyder,Latino,White,0.9,0.78,0.11
William Schmidt,Latino,White,0.9,0.78,0.11
John Larson,Latino,White,0.8888888888888888,0.78,0.11
Richard Ryan,Latino,White,0.8888888888888888,0.78,0.11
Richard Wagner,Latino,White,0.8888888888888888,0.78,0.11
James Wagner,Latino,White,0.8571428571428571,0.78,0.11
John Wagner,Latino,White,0.8571428571428571,0.78,0.11
Mary Hoffman,Latino,White,0.8571428571428571,0.78,0.11
James Ryan,Latino,White,0.8333333333333334,0.78,0.11
John Hansen,Latino,White,0.8333333333333334,0.78,0.11
Richard Hoffman,Latino,White,0.8333333333333334,0.78,0.11
Robert Meyer,Latino,White,0.8333333333333334,0.78,0.11
Thomas Larson,Latino,White,0.8333333333333334,0.78,0.11
David Hoffman,Latino,White,0.8,0.78,0.11
David Larson,Latino,White,0.8,0.78,0.11
David Meyer,Latino,White,0.8,0.78,0.11
John Hoffman,Latino,White,0.8,0.78,0.11
John Snyder,Latino,White,0.8,0.78,0.11
Mark Larson,Latino,White,0.8,0.78,0.11
Richard Larson,Latino,White,0.8,0.78,0.11
Robert Schmidt,Latino,White,0.8,0.78,0.11
William Larson,Latino,White,0.8,0.78,0.11
William Ryan,Latino,White,0.8,0.78,0.11
