name,res.race,identity,pct_correct,mean_correct_score,pct_quality_names
Latasha Jackson,White,Black,0.9032258064516129,0.64,0.02
Lakisha Jackson,White,Black,0.8695652173913043,0.64,0.02
Tamika Williams,White,Black,0.8536585365853658,0.64,0.02
Tamika Jackson,White,Black,0.8387096774193549,0.64,0.02
Lakisha Wood,White,Black,0.8333333333333334,0.64,0.02
Latasha Burke,White,Black,0.8285714285714286,0.64,0.02
Lakisha Stone,White,Black,0.8275862068965517,0.64,0.02
Tanisha Washington,White,Black,0.8275862068965517,0.64,0.02
Latasha Williams,White,Black,0.8181818181818182,0.64,0.02
Tamika Fox,White,Black,0.8181818181818182,0.64,0.02
Latasha Fox,White,Black,0.8125,0.64,0.02
Lakisha Carpenter,White,Black,0.7878787878787878,0.64,0.02
Latoya Burke,White,Black,0.7878787878787878,0.64,0.02
Latonya Williams,White,Black,0.7837837837837838,0.64,0.02
Latonya Weaver,White,Black,0.7777777777777778,0.64,0.02
Ebony Jackson,White,Black,0.7741935483870968,0.64,0.02
Ebony Fox,White,Black,0.75,0.64,0.02
Ebony Williams,White,Black,0.75,0.64,0.02
Latasha Carpenter,White,Black,0.7419354838709677,0.64,0.02
Tanisha Williams,White,Black,0.7407407407407407,0.64,0.02
Latoya Jackson,White,Black,0.7368421052631579,0.64,0.02
Lakisha Washington,White,Black,0.7317073170731707,0.64,0.02
Jermaine Wood,White,Black,0.7297297297297297,0.64,0.02
Latoya Stone,White,Black,0.7272727272727273,0.64,0.02
Lakisha Williams,White,Black,0.7241379310344828,0.64,0.02
Latonya Fox,White,Black,0.7222222222222222,0.64,0.02
Tanisha Stone,White,Black,0.72,0.64,0.02
Jermaine Williams,White,Black,0.71875,0.64,0.02
Latonya Stone,White,Black,0.71875,0.64,0.02
Tamika Wood,White,Black,0.7142857142857143,0.64,0.02
Latoya Weaver,White,Black,0.7037037037037037,0.64,0.02
Jermaine Jackson,White,Black,0.7,0.64,0.02
Lakisha Weaver,White,Black,0.7,0.64,0.02
Latoya Washington,White,Black,0.7,0.64,0.02
Tamika Burke,White,Black,0.7,0.64,0.02
Tamika Carpenter,White,Black,0.696969696969697,0.64,0.02
Ebony Washington,White,Black,0.6944444444444444,0.64,0.02
Latonya Washington,White,Black,0.6944444444444444,0.64,0.02
Latonya Carpenter,White,Black,0.6896551724137931,0.64,0.02
Latoya Fox,White,Black,0.6875,0.64,0.02
Tanisha Fox,White,Black,0.6842105263157895,0.64,0.02
Ebony Stone,White,Black,0.6785714285714286,0.64,0.02
Darnell Jackson,White,Black,0.6774193548387096,0.64,0.02
Ebony Burke,White,Black,0.6774193548387096,0.64,0.02
Lakisha Fox,White,Black,0.6774193548387096,0.64,0.02
Latonya Burke,White,Black,0.6774193548387096,0.64,0.02
Tanisha Burke,White,Black,0.6764705882352942,0.64,0.02
Tanisha Carpenter,White,Black,0.6764705882352942,0.64,0.02
Lakisha Burke,White,Black,0.6666666666666666,0.64,0.02
Latoya Williams,White,Black,0.6666666666666666,0.64,0.02
Tanisha Jackson,White,Black,0.6666666666666666,0.64,0.02
Latonya Wood,White,Black,0.6571428571428571,0.64,0.02
Darnell Williams,White,Black,0.65625,0.64,0.02
Tamika Stone,White,Black,0.65625,0.64,0.02
Tamika Sullivan,White,Black,0.6551724137931034,0.64,0.02
Jermaine Fox,White,Black,0.6538461538461539,0.64,0.02
Lakisha Sullivan,White,Black,0.6538461538461539,0.64,0.02
Latonya Sullivan,White,Black,0.6538461538461539,0.64,0.02
Jermaine Sullivan,White,Black,0.65,0.64,0.02
Latasha Stone,White,Black,0.6470588235294118,0.64,0.02
Tanisha Weaver,White,Black,0.6470588235294118,0.64,0.02
Ebony Weaver,White,Black,0.6451612903225806,0.64,0.02
Tamika Washington,White,Black,0.6428571428571429,0.64,0.02
Hung Chen,White,AAPI,0.9615384615384616,0.63,0.02
Jian Li,White,AAPI,0.9428571428571428,0.63,0.02
Young Le,White,AAPI,0.9310344827586207,0.63,0.02
Hung Wang,White,AAPI,0.9142857142857143,0.63,0.02
Dan Yang,White,AAPI,0.90625,0.63,0.02
Thanh Wang,White,AAPI,0.9,0.63,0.02
Hung Kim,White,AAPI,0.8888888888888888,0.63,0.02
Wei Li,White,AAPI,0.8888888888888888,0.63,0.02
Jin Chen,White,AAPI,0.875,0.63,0.02
Hung Yang,White,AAPI,0.8709677419354839,0.63,0.02
Hong Pham,White,AAPI,0.8648648648648649,0.63,0.02
Peter Li,White,AAPI,0.8636363636363636,0.63,0.02
Minh Chen,White,AAPI,0.8620689655172413,0.63,0.02
Grace Chen,White,AAPI,0.8571428571428571,0.63,0.02
Jin Yang,White,AAPI,0.8571428571428571,0.63,0.02
Thanh Le,White,AAPI,0.8571428571428571,0.63,0.02
May Chen,White,AAPI,0.8536585365853658,0.63,0.02
Yong Li,White,AAPI,0.85,0.63,0.02
Wei Yang,White,AAPI,0.8461538461538461,0.63,0.02
Yong Yang,White,AAPI,0.8333333333333334,0.63,0.02
Alan Wang,White,AAPI,0.8285714285714286,0.63,0.02
Andy Wang,White,AAPI,0.8285714285714286,0.63,0.02
Jin Kim,White,AAPI,0.8285714285714286,0.63,0.02
Jane Yang,White,AAPI,0.8275862068965517,0.63,0.02
Sam Yang,White,AAPI,0.8275862068965517,0.63,0.02
Thanh Li,White,AAPI,0.8275862068965517,0.63,0.02
David Li,White,AAPI,0.8260869565217391,0.63,0.02
Li Li,White,AAPI,0.8235294117647058,0.63,0.02
Andy Yang,White,AAPI,0.8214285714285714,0.63,0.02
Jenny Chen,White,AAPI,0.8214285714285714,0.63,0.02
Eric Wang,White,AAPI,0.8181818181818182,0.63,0.02
Minh Le,White,AAPI,0.8181818181818182,0.63,0.02
Young Li,White,AAPI,0.8181818181818182,0.63,0.02
Hong Li,White,AAPI,0.8125,0.63,0.02
Hong Wang,White,AAPI,0.8125,0.63,0.02
Wei Tran,White,AAPI,0.8125,0.63,0.02
Jian Wang,White,AAPI,0.8095238095238095,0.63,0.02
Li Chen,White,AAPI,0.8095238095238095,0.63,0.02
Yong Pham,White,AAPI,0.8076923076923077,0.63,0.02
Amy Le,White,AAPI,0.8,0.63,0.02
Amy Li,White,AAPI,0.8,0.63,0.02
Dan Kim,White,AAPI,0.8,0.63,0.02
Hong Le,White,AAPI,0.8,0.63,0.02
Jin Wang,White,AAPI,0.8,0.63,0.02
Yong Kim,White,AAPI,0.8,0.63,0.02
Young Wang,White,AAPI,0.8,0.63,0.02
Minh Li,White,AAPI,0.7948717948717948,0.63,0.02
Albert Wang,White,AAPI,0.7931034482758621,0.63,0.02
Li Kim,White,AAPI,0.7931034482758621,0.63,0.02
Grace Yang,White,AAPI,0.7894736842105263,0.63,0.02
Yong Tran,White,AAPI,0.7872340425531915,0.63,0.02
Alex Li,White,AAPI,0.7857142857142857,0.63,0.02
Jennifer Wang,White,AAPI,0.7857142857142857,0.63,0.02
Thanh Chen,White,AAPI,0.7857142857142857,0.63,0.02
Jin Li,White,AAPI,0.7837837837837838,0.63,0.02
Jennifer Li,White,AAPI,0.78125,0.63,0.02
Jian Pham,White,AAPI,0.78125,0.63,0.02
Li Wang,White,AAPI,0.78125,0.63,0.02
David Chen,White,AAPI,0.7777777777777778,0.63,0.02
Li Pham,White,AAPI,0.7777777777777778,0.63,0.02
Minh Yang,White,AAPI,0.7777777777777778,0.63,0.02
Peter Wang,White,AAPI,0.7777777777777778,0.63,0.02
Young Tran,White,AAPI,0.7777777777777778,0.63,0.02
Yong Nguyen,White,AAPI,0.7741935483870968,0.63,0.02
Jian Yang,White,AAPI,0.7714285714285715,0.63,0.02
Hong Yang,White,AAPI,0.7692307692307693,0.63,0.02
Hong Chen,White,AAPI,0.7647058823529411,0.63,0.02
Amy Chen,White,AAPI,0.7586206896551724,0.63,0.02
Jin Le,White,AAPI,0.7586206896551724,0.63,0.02
Vivian Wang,White,AAPI,0.7586206896551724,0.63,0.02
May Yang,White,AAPI,0.7567567567567568,0.63,0.02
Minh Wang,White,AAPI,0.7567567567567568,0.63,0.02
David Yang,White,AAPI,0.7560975609756098,0.63,0.02
Minh Nguyen,White,AAPI,0.7560975609756098,0.63,0.02
Amy Yang,White,AAPI,0.75,0.63,0.02
Andrew Li,White,AAPI,0.75,0.63,0.02
Cecilia Chen,White,AAPI,0.75,0.63,0.02
Hung Le,White,AAPI,0.75,0.63,0.02
Jane Kim,White,AAPI,0.75,0.63,0.02
Jenny Kim,White,AAPI,0.75,0.63,0.02
Jin Tran,White,AAPI,0.75,0.63,0.02
Li Yang,White,AAPI,0.75,0.63,0.02
May Wang,White,AAPI,0.75,0.63,0.02
Minh Kim,White,AAPI,0.75,0.63,0.02
Sam Le,White,AAPI,0.75,0.63,0.02
Wei Kim,White,AAPI,0.7435897435897436,0.63,0.02
Alice Wang,White,AAPI,0.7428571428571429,0.63,0.02
Cindy Le,White,AAPI,0.7428571428571429,0.63,0.02
Li Nguyen,White,AAPI,0.7428571428571429,0.63,0.02
Sam Li,White,AAPI,0.7428571428571429,0.63,0.02
Andrew Le,White,AAPI,0.7419354838709677,0.63,0.02
Thanh Yang,White,AAPI,0.7419354838709677,0.63,0.02
May Kim,White,AAPI,0.7407407407407407,0.63,0.02
Wei Le,White,AAPI,0.7391304347826086,0.63,0.02
Cindy Wang,White,AAPI,0.7380952380952381,0.63,0.02
Jenny Li,White,AAPI,0.7352941176470589,0.63,0.02
Hong Kim,White,AAPI,0.7333333333333333,0.63,0.02
Alan Li,White,AAPI,0.7297297297297297,0.63,0.02
Hong Nguyen,White,AAPI,0.7291666666666666,0.63,0.02
Albert Yang,White,AAPI,0.7272727272727273,0.63,0.02
Alice Li,White,AAPI,0.7272727272727273,0.63,0.02
Hung Pham,White,AAPI,0.7272727272727273,0.63,0.02
Minh Tran,White,AAPI,0.7272727272727273,0.63,0.02
Cecilia Yang,White,AAPI,0.7222222222222222,0.63,0.02
Jian Chen,White,AAPI,0.72,0.63,0.02
May Pham,White,AAPI,0.72,0.63,0.02
David Wang,White,AAPI,0.71875,0.63,0.02
Jian Le,White,AAPI,0.71875,0.63,0.02
Sam Wang,White,AAPI,0.71875,0.63,0.02
Jenny Yang,White,AAPI,0.717391304347826,0.63,0.02
Dan Li,White,AAPI,0.7142857142857143,0.63,0.02
Jin Pham,White,AAPI,0.7105263157894737,0.63,0.02
Albert Li,White,AAPI,0.7096774193548387,0.63,0.02
Eric Yang,White,AAPI,0.7096774193548387,0.63,0.02
Jane Li,White,AAPI,0.7096774193548387,0.63,0.02
Vivian Yang,White,AAPI,0.7096774193548387,0.63,0.02
Albert Chen,White,AAPI,0.7058823529411765,0.63,0.02
Peter Yang,White,AAPI,0.7058823529411765,0.63,0.02
Thanh Kim,White,AAPI,0.7037037037037037,0.63,0.02
Eric Kim,White,AAPI,0.7,0.63,0.02
Vivian Pham,White,AAPI,0.7,0.63,0.02
Young Yang,White,AAPI,0.696969696969697,0.63,0.02
Andrew Chen,White,AAPI,0.6944444444444444,0.63,0.02
Andrew Wang,White,AAPI,0.6923076923076923,0.63,0.02
Cindy Chen,White,AAPI,0.6923076923076923,0.63,0.02
Jenny Nguyen,White,AAPI,0.6923076923076923,0.63,0.02
Li Tran,White,AAPI,0.6923076923076923,0.63,0.02
Li Le,White,AAPI,0.6904761904761905,0.63,0.02
Alex Wang,White,AAPI,0.6896551724137931,0.63,0.02
Vivian Chen,White,AAPI,0.6896551724137931,0.63,0.02
Alice Chen,White,AAPI,0.6875,0.63,0.02
Amy Wang,White,AAPI,0.6857142857142857,0.63,0.02
Dan Wang,White,AAPI,0.6857142857142857,0.63,0.02
Cindy Yang,White,AAPI,0.6842105263157895,0.63,0.02
Wei Chen,White,AAPI,0.6842105263157895,0.63,0.02
Thanh Tran,White,AAPI,0.68,0.63,0.02
Andy Chen,White,AAPI,0.6785714285714286,0.63,0.02
Eric Le,White,AAPI,0.6785714285714286,0.63,0.02
May Le,White,AAPI,0.6785714285714286,0.63,0.02
Peter Chen,White,AAPI,0.6774193548387096,0.63,0.02
Young Pham,White,AAPI,0.6774193548387096,0.63,0.02
May Li,White,AAPI,0.6764705882352942,0.63,0.02
Andy Li,White,AAPI,0.6744186046511628,0.63,0.02
Alan Chen,White,AAPI,0.6666666666666666,0.63,0.02
Cecilia Wang,White,AAPI,0.6666666666666666,0.63,0.02
Dan Le,White,AAPI,0.6666666666666666,0.63,0.02
Jian Kim,White,AAPI,0.6666666666666666,0.63,0.02
Thanh Pham,White,AAPI,0.6666666666666666,0.63,0.02
Wei Nguyen,White,AAPI,0.6666666666666666,0.63,0.02
Wei Wang,White,AAPI,0.6666666666666666,0.63,0.02
Yong Wang,White,AAPI,0.6666666666666666,0.63,0.02
Amy Kim,White,AAPI,0.6578947368421053,0.63,0.02
Hong Tran,White,AAPI,0.65625,0.63,0.02
Cecilia Li,White,AAPI,0.6538461538461539,0.63,0.02
Young Nguyen,White,AAPI,0.6538461538461539,0.63,0.02
Grace Le,White,AAPI,0.65,0.63,0.02
Jenny Wang,White,AAPI,0.65,0.63,0.02
Vivian Li,White,AAPI,0.65,0.63,0.02
Jennifer Yang,White,AAPI,0.6470588235294118,0.63,0.02
Jane Wang,White,AAPI,0.6451612903225806,0.63,0.02
Jennifer Le,White,AAPI,0.6451612903225806,0.63,0.02
Cindy Li,White,AAPI,0.6428571428571429,0.63,0.02
Young Kim,White,AAPI,0.64,0.63,0.02
Sam Chen,White,AAPI,0.6388888888888888,0.63,0.02
Grace Nguyen,White,AAPI,0.6363636363636364,0.63,0.02
Hung Li,White,AAPI,0.6363636363636364,0.63,0.02
Jian Tran,White,AAPI,0.6363636363636364,0.63,0.02
Yong Chen,White,AAPI,0.6363636363636364,0.63,0.02
Sam Kim,White,AAPI,0.6333333333333333,0.63,0.02
Hector Rodriguez,White,Latino,0.9565217391304348,0.77,0.01
Salvador Gonzalez,White,Latino,0.9354838709677419,0.77,0.01
Alejandro Perez,White,Latino,0.9230769230769231,0.77,0.01
Hector Ramirez,White,Latino,0.9230769230769231,0.77,0.01
Guadalupe Ramirez,White,Latino,0.8947368421052632,0.77,0.01
Javier Martinez,White,Latino,0.8837209302325582,0.77,0.01
Guadalupe Martinez,White,Latino,0.8787878787878788,0.77,0.01
Alejandro Lopez,White,Latino,0.875,0.77,0.01
Julio Perez,White,Latino,0.8709677419354839,0.77,0.01
Julio Ramirez,White,Latino,0.8709677419354839,0.77,0.01
Hector Garcia,White,Latino,0.8695652173913043,0.77,0.01
Jesus Ramirez,White,Latino,0.868421052631579,0.77,0.01
Jesus Perez,White,Latino,0.8611111111111112,0.77,0.01
Salvador Sanchez,White,Latino,0.8571428571428571,0.77,0.01
Julio Gonzalez,White,Latino,0.8536585365853658,0.77,0.01
Alejandro Torres,White,Latino,0.8421052631578947,0.77,0.01
Javier Rodriguez,White,Latino,0.8285714285714286,0.77,0.01
Julio Garcia,White,Latino,0.8285714285714286,0.77,0.01
Miguel Sanchez,White,Latino,0.8285714285714286,0.77,0.01
Guadalupe Gonzalez,White,Latino,0.825,0.77,0.01
Guadalupe Rodriguez,White,Latino,0.825,0.77,0.01
Salvador Rodriguez,White,Latino,0.8235294117647058,0.77,0.01
Alejandro Sanchez,White,Latino,0.8214285714285714,0.77,0.01
Juan Martinez,White,Latino,0.8214285714285714,0.77,0.01
Salvador Lopez,White,Latino,0.8181818181818182,0.77,0.01
Jorge Perez,White,Latino,0.8125,0.77,0.01
Salvador Ramirez,White,Latino,0.8125,0.77,0.01
Alejandro Rodriguez,White,Latino,0.8108108108108109,0.77,0.01
Javier Hernandez,White,Latino,0.8108108108108109,0.77,0.01
Salvador Hernandez,White,Latino,0.8108108108108109,0.77,0.01
Guadalupe Sanchez,White,Latino,0.8055555555555556,0.77,0.01
Hector Lopez,White,Latino,0.8055555555555556,0.77,0.01
Miguel Perez,White,Latino,0.8048780487804879,0.77,0.01
Javier Lopez,White,Latino,0.8,0.77,0.01
Jesus Lopez,White,Latino,0.8,0.77,0.01
